Fe	Pd	Ga
71.66	06.10	22.24
74.31	05.46	20.22
75.79	04.76	19.45
46.70	28.52	24.78
49.11	25.53	25.36
52.39	22.32	25.29
56.00	19.12	24.88
58.91	16.39	24.70
61.84	13.71	24.44
64.60	11.72	23.68
67.27	10.07	22.66
69.47	08.75	21.78
71.66	07.61	20.73
73.90	06.41	19.69
75.84	05.75	18.40
77.68	05.12	17.20
46.20	31.47	22.34
49.63	27.91	22.45
52.99	24.84	22.17
56.41	21.43	22.16
59.62	18.40	21.98
62.74	15.81	21.45
65.49	13.46	21.05
68.22	11.46	20.32
71.13	09.71	19.16
73.42	08.26	18.32
75.24	07.21	17.56
76.84	06.39	16.77
79.40	05.40	15.20
44.42	33.88	21.71
49.53	30.50	19.96
53.23	27.05	19.72
56.15	23.69	20.16
59.92	20.31	19.77
63.50	17.46	19.04
65.88	14.83	19.29
69.25	12.49	18.26
72.27	10.47	17.26
74.44	09.09	16.47
76.36	07.71	15.92
78.57	06.62	14.81
80.33	05.87	13.80
82.16	04.99	12.85
42.94	36.63	20.42
47.26	32.78	19.96
53.42	29.19	17.39
56.53	25.83	17.64
60.07	22.68	17.26
63.77	19.22	17.02
67.01	16.23	16.76
70.05	13.71	16.24
72.97	11.54	15.48
75.84	09.59	14.56
77.88	08.15	13.97
79.94	07.20	12.86
81.89	05.98	12.13
82.86	05.50	11.64
43.76	36.95	19.30
46.65	34.94	18.41
51.78	31.59	16.63
56.97	27.90	15.13
60.72	24.22	15.05
63.89	21.10	15.01
67.70	17.72	14.59
71.12	14.83	14.05
73.99	12.30	13.71
76.17	10.49	13.34
78.70	08.84	12.46
80.84	07.62	11.53
82.88	06.20	10.92
84.35	05.59	10.06
44.94	38.69	16.38
47.33	36.46	16.21
49.71	33.55	16.74
54.66	30.06	15.28
60.92	26.06	13.02
64.88	22.10	13.02
68.30	18.81	12.89
71.83	15.60	12.57
75.14	13.00	11.85
77.34	11.13	11.54
79.62	09.28	11.10
81.24	07.95	10.81
83.86	06.60	09.54
85.20	05.59	09.22
44.76	40.34	14.90
48.57	37.14	14.30
51.50	33.84	14.66
55.19	30.20	14.61
61.16	27.33	11.50
65.60	23.45	10.96
68.68	19.86	11.46
72.32	16.62	11.06
75.47	13.89	10.65
78.45	11.49	10.06
80.69	09.58	09.73
82.40	08.18	09.42
84.42	06.80	08.78
44.82	42.23	12.94
48.20	38.97	12.83
52.38	35.34	12.28
55.79	32.18	12.03
59.79	28.27	11.94
65.21	24.65	10.14
68.84	21.20	09.95
72.76	17.45	09.78
76.02	14.75	09.23
78.56	12.13	09.31
81.52	10.01	08.47
83.02	08.58	08.40
84.76	07.32	07.92
44.95	44.10	10.95
48.38	40.49	11.13
52.35	36.92	10.73
56.06	33.11	10.83
60.43	29.13	10.45
65.01	26.17	08.82
69.29	21.97	08.73
73.21	18.20	08.60
75.94	15.50	08.56
79.25	12.65	08.10
81.46	10.64	07.90
83.79	08.82	07.39
85.56	07.42	07.02
44.03	46.07	09.90
48.35	42.22	09.43
52.38	37.83	09.79
56.75	33.84	09.42
61.03	29.49	09.48
65.37	26.70	07.92
69.95	22.18	07.87
73.75	18.68	07.58
77.02	15.47	07.52
80.04	12.98	06.98
82.10	10.79	07.11
84.21	09.12	06.67
44.48	47.13	08.39
48.69	43.25	08.06
52.81	38.71	08.47
56.91	34.78	08.31
61.21	30.60	08.19
65.62	27.21	07.18
69.50	23.24	07.25
74.08	19.22	06.70
77.29	15.64	07.07
80.69	13.12	06.19
82.86	10.90	06.24
84.78	09.35	05.88
44.88	48.04	07.08
48.56	44.31	07.14
52.61	39.86	07.53
57.60	35.15	07.25
61.86	30.66	07.48
66.08	27.79	06.14
70.68	23.59	05.73
74.06	19.65	06.30
77.81	16.07	06.13
80.41	13.47	06.12
83.19	10.94	05.87
44.97	48.85	06.18
48.17	45.28	06.55
53.11	40.77	06.12
57.32	36.15	06.53
63.47	30.63	05.90
66.74	27.85	05.41
70.27	23.71	06.02
74.42	19.78	05.79
78.46	16.11	05.42
80.20	14.05	05.75
44.98	49.53	05.49
48.64	46.01	05.35
52.44	41.37	06.19
57.20	36.89	05.91
62.59	32.15	05.26
66.52	28.31	05.17
70.66	24.15	05.19
74.52	20.06	05.42
78.39	16.37	05.24
44.09	51.13	04.77
47.82	46.99	05.18
52.61	42.08	05.31
57.09	37.58	05.34
61.80	33.48	04.72
66.95	28.25	04.80
71.17	23.83	05.00
75.39	19.76	04.85
43.93	51.78	04.29
48.21	47.20	04.59
51.81	43.10	05.10
59.03	37.04	03.93
62.24	33.31	04.45
67.57	28.24	04.19
43.90	52.59	03.51
47.58	48.12	04.30
52.74	42.67	04.59
57.02	38.46	04.52
