,q,I
0,0.0009410158237114137,12818.269
1,0.0028230474711342414,12804.021
2,0.004705079118557069,12839.692
3,0.006587110765979897,13167.397
4,0.008469142413402726,13535.668
5,0.010351174060825554,13686.653
6,0.01223320570824838,13755.537
7,0.014115237355671207,13767.183
8,0.015997269003094037,13676.956
9,0.017879300650516863,13596.702
10,0.019761332297939693,13518.767
11,0.02164336394536252,13521.709
12,0.023525395592785346,13544.941
13,0.025407427240208176,13557.713
14,0.027289458887631002,13535.706
15,0.029171490535053825,13457.87
16,0.031053522182476655,13426.372
17,0.03293555382989948,13437.474
18,0.03481758547732231,13505.542
19,0.03669961712474514,13447.265
20,0.03858164877216797,13366.127
21,0.040463680419590795,13235.531
22,0.04234571206701362,13101.077
23,0.04422774371443645,12991.296
24,0.04610977536185928,12914.327
25,0.04799180700928211,12925.512
26,0.04987383865670494,12983.593
27,0.05175587030412776,12979.133
28,0.05363790195155058,12975.167
29,0.05551993359897341,13052.206
30,0.05740196524639624,13152.471
31,0.05928399689381908,13150.2295
32,0.061166028541241896,13086.2705
33,0.06304806018866473,13040.052
34,0.06493009183608756,13071.173
35,0.06681212348351037,13138.452
36,0.06869415513093322,13121.42
37,0.07057618677835603,13128.051
38,0.07245821842577888,13066.703
39,0.07434025007320169,13053.024
40,0.07622228172062452,13086.154
41,0.07810431336804735,13061.635
42,0.07998634501547017,13110.653
43,0.08186837666289301,13111.455
44,0.08375040831031583,13107.917
45,0.08563243995773866,13094.484
46,0.08751447160516149,13090.991
47,0.08939650325258432,13084.761
48,0.09127853490000715,13160.52
49,0.09316056654742996,13213.127
50,0.0950425981948528,13283.517
51,0.09692462984227562,13386.357
52,0.09880666148969845,13407.719
53,0.10068869313712128,13416.422
54,0.10257072478454411,13397.913
55,0.10445275643196694,13438.561
56,0.10633478807938976,13510.155
57,0.10821681972681259,13569.994
58,0.11009885137423542,13594.228
59,0.11198088302165825,13561.906
60,0.11386291466908108,13556.06
61,0.1157449463165039,13557.648
62,0.11762697796392674,13542.748
63,0.11950900961134957,13546.734
64,0.12139104125877238,13580.259
65,0.12327307290619521,13533.147
66,0.12515510455361803,13473.616
67,0.12703713620104087,13463.437
68,0.1289191678484637,13426.495
69,0.13080119949588653,13506.059
70,0.13268323114330935,13533.867
71,0.1345652627907322,13482.313
72,0.136447294438155,13430.072
73,0.13832932608557783,13400.238
74,0.14021135773300067,13436.326
75,0.14209338938042348,13416.427
76,0.14397542102784633,13381.922
77,0.14585745267526914,13398.519
78,0.14773948432269196,13375.143
79,0.1496215159701148,13359.567
80,0.15150354761753765,13359.131
81,0.15338557926496046,13363.206
82,0.15526761091238328,13347.363
83,0.1571496425598061,13389.407
84,0.15903167420722894,13410.668
85,0.16091370585465178,13444.542
86,0.1627957375020746,13477.261
87,0.16467776914949742,13428.355
88,0.16655980079692026,13355.233
89,0.16844183244434308,13300.344
90,0.17032386409176592,13264.54
91,0.17220589573918874,13268.507
92,0.17408792738661155,13277.194
93,0.1759699590340344,13323.577
94,0.17785199068145724,13354.805
95,0.17973402232888006,13436.709
96,0.18161605397630287,13454.377
97,0.1834980856237257,13431.475
98,0.18538011727114853,13406.055
99,0.18726214891857138,13365.438
100,0.1891441805659942,13380.312
101,0.191026212213417,13444.425
102,0.19290824386083982,13471.776
103,0.19479027550826267,13467.097
104,0.1966723071556855,13465.25
105,0.19855433880310833,13501.298
106,0.20043637045053114,13534.984
107,0.20231840209795396,13553.314
108,0.20420043374537683,13507.139
109,0.20608246539279965,13489.713
110,0.20796449704022246,13499.629
111,0.20984652868764528,13510.601
112,0.2117285603350681,13550.392
113,0.21361059198249097,13559.96
114,0.21549262362991378,13559.161
115,0.2173746552773366,13593.187
116,0.21925668692475941,13618.56
117,0.22113871857218226,13650.375
118,0.2230207502196051,13688.246
119,0.22490278186702792,13729.949
120,0.22678481351445073,13797.054
121,0.22866684516187358,13854.047
122,0.2305488768092964,13888.729
123,0.23243090845671924,13916.292
124,0.2343129401041421,13922.95
125,0.23619497175156492,13929.467
126,0.23807700339898774,13944.425
127,0.23995903504641056,13994.21
128,0.2418410666938334,14044.318
129,0.24372309834125622,14065.637
130,0.24560512998867903,14103.675
131,0.24748716163610185,14140.871
132,0.24936919328352466,14198.633
133,0.25125122493094754,14256.073
134,0.2531332565783704,14283.89
135,0.25501528822579317,14326.544
136,0.256897319873216,14380.782
137,0.25877935152063886,14429.483
138,0.26066138316806164,14467.662
139,0.2625434148154845,14464.872
140,0.26442544646290733,14472.871
141,0.2663074781103301,14498.789
142,0.268189509757753,14513.966
143,0.2700715414051758,14512.1045
144,0.27195357305259865,14524.76
145,0.27383560470002144,14559.292
146,0.2757176363474443,14557.126
147,0.2775996679948671,14550.703
148,0.2794816996422899,14584.086
149,0.28136373128971276,14626.513
150,0.2832457629371356,14702.408
151,0.28512779458455845,14740.005
152,0.2870098262319813,14768.855
153,0.2888918578794041,14788.785
154,0.2907738895268269,14832.61
155,0.2926559211742497,14873.591
156,0.29453795282167256,14918.396
157,0.2964199844690954,14961.523
158,0.2983020161165182,14983.24
159,0.30018404776394103,15034.038
160,0.3020660794113639,15084.427
161,0.3039481110587867,15128.791
162,0.30583014270620956,15153.571
163,0.30771217435363235,15152.439
164,0.3095942060010552,15154.912
165,0.31147623764847804,15186.446
166,0.3133582692959008,15241.454
167,0.31524030094332367,15308.203
168,0.31712233259074646,15377.274
169,0.3190043642381693,15445.527
170,0.32088639588559215,15515.31
171,0.322768427533015,15557.82
172,0.32465045918043783,15606.765
173,0.3265324908278606,15678.018
